,Name,Path,outliers features (confident level = 0.998)
0,3,/home/jupyter-igor_busov/wheat_wrapper/image_example/3.jpg,"['RGB_GCH4_5', 'RGB_GCH4_21', 'RGB_GCH4_43', 'RGB_GCH8_9', 'RGB_GCH8_73', 'RGB_GCH8_82', 'RGB_GCH8_146', 'RGB_GCH8_157', 'RGB_GCH8_220', 'RGB_GCH8_229', 'RGB_GCH8_230', 'RGB_GCH8_293', 'RGB_dominantColor_percent_1', 'RGB_dominantColor_percent_2', 'RGB_dominantColor_variance_2', 'HSV_meanColor_S', 'HSV_GCH4_2', 'HSV_GCH4_3', 'HSV_GCH4_4', 'HSV_GCH4_7', 'HSV_GCH4_17', 'HSV_GCH4_18', 'HSV_GCH4_33', 'HSV_GCH4_37', 'HSV_GCH4_53', 'HSV_GCH8_1', 'HSV_GCH8_2', 'HSV_GCH8_3', 'HSV_GCH8_4', 'HSV_GCH8_5', 'HSV_GCH8_12', 'HSV_GCH8_13', 'HSV_GCH8_21', 'HSV_GCH8_65', 'HSV_GCH8_66', 'HSV_GCH8_67', 'HSV_GCH8_68', 'HSV_GCH8_69', 'HSV_GCH8_74', 'HSV_GCH8_76', 'HSV_GCH8_77', 'HSV_GCH8_85', 'HSV_GCH8_129', 'HSV_GCH8_130', 'HSV_GCH8_131', 'HSV_GCH8_138', 'HSV_GCH8_153', 'HSV_GCH8_194', 'HSV_GCH8_201', 'HSV_GCH8_202', 'HSV_GCH8_265', 'HSV_GCH8_329', 'HSV_GCH8_337', 'HSV_GCH8_401', 'HSV_dominantColor_H_1', 'HSV_dominantColor_S_1', 'HSV_dominantColor_variance_1', 'HSV_dominantColor_H_2', 'HSV_dominantColor_S_2', 'HSV_dominantColor_persent_2', 'HSV_dominantColor_variance_2', 'HSV_dominantColor_H_3', 'Lab_GCH4_21', 'Lab_GCH4_25', 'Lab_GCH4_37', 'Lab_GCH4_38', 'Lab_GCH4_43', 'Lab_GCH8_217', 'Lab_GCH8_218', 'Lab_GCH8_225', 'Lab_GCH8_281', 'Lab_GCH8_282', 'Lab_GCH8_283', 'Lab_GCH8_284', 'Lab_dominantColor_persent_1', 'Lab_dominantColor_a_2', 'Lab_dominantColor_persent_2', 'Lab_dominantColor_variance_2', 'Lab_dominantColor_b_3', 'YCrCb_meanColor_Cr', 'YCrCb_GCH4_21', 'YCrCb_GCH4_22', 'YCrCb_GCH4_28', 'YCrCb_GCH4_37', 'YCrCb_GCH4_41', 'YCrCb_GCH8_217', 'YCrCb_GCH8_218', 'YCrCb_GCH8_219', 'YCrCb_GCH8_231', 'YCrCb_GCH8_281', 'YCrCb_GCH8_282', 'YCrCb_GCH8_289', 'YCrCb_GCH8_290', 'YCrCb_dominantColor_persent_1', 'YCrCb_dominantColor_Cr_2', 'YCrCb_dominantColor_persent_2', 'YCrCb_dominantColor_variance_2', 'YCrCb_dominantColor_Cb_3', 'Perimeter', 'Ear area', 'Circularity index', 'Solidity', 'Maximum Inscribed/Minimum Circumscribed', 'Maximum Inscribed Circle/Equivalent-Area Circle', 'yu1', 'yu2', 'au1', 'au2', 'tu1', 'tu2', 'Su2', 'Su3', 'Su', 'yum', 'Sb2', 'Sb', 'ybm', 'AIx2', 'AIy2', 'AIxy2', 'biomass_spikelet']"
1,1,/home/jupyter-igor_busov/wheat_wrapper/image_example/1.jpg,[]
2,5,/home/jupyter-igor_busov/wheat_wrapper/image_example/5.jpg,"['Spikelets Num_x', 'Spikelets Num_y', 'RGB_meanColor_R', 'RGB_meanColor_G', 'RGB_meanColor_B', 'RGB_GCH4_1', 'RGB_GCH4_3', 'RGB_GCH4_7', 'RGB_GCH4_8', 'RGB_GCH4_11', 'RGB_GCH4_12', 'RGB_GCH4_18', 'RGB_GCH4_22', 'RGB_GCH4_23', 'RGB_GCH4_24', 'RGB_GCH4_26', 'RGB_GCH4_27', 'RGB_GCH4_28', 'RGB_GCH4_38', 'RGB_GCH4_39', 'RGB_GCH4_42', 'RGB_GCH4_43', 'RGB_GCH4_44', 'RGB_GCH4_47', 'RGB_GCH4_48', 'RGB_GCH8_1', 'RGB_GCH8_12', 'RGB_GCH8_13', 'RGB_GCH8_20', 'RGB_GCH8_21', 'RGB_GCH8_22', 'RGB_GCH8_29', 'RGB_GCH8_30', 'RGB_GCH8_74', 'RGB_GCH8_76', 'RGB_GCH8_83', 'RGB_GCH8_84', 'RGB_GCH8_85', 'RGB_GCH8_86', 'RGB_GCH8_93', 'RGB_GCH8_94', 'RGB_GCH8_95', 'RGB_GCH8_102', 'RGB_GCH8_103', 'RGB_GCH8_139', 'RGB_GCH8_147', 'RGB_GCH8_148', 'RGB_GCH8_149', 'RGB_GCH8_156', 'RGB_GCH8_158', 'RGB_GCH8_159', 'RGB_GCH8_166', 'RGB_GCH8_167', 'RGB_GCH8_175', 'RGB_GCH8_211', 'RGB_GCH8_212', 'RGB_GCH8_213', 'RGB_GCH8_219', 'RGB_GCH8_221', 'RGB_GCH8_222', 'RGB_GCH8_228', 'RGB_GCH8_229', 'RGB_GCH8_231', 'RGB_GCH8_238', 'RGB_GCH8_239', 'RGB_GCH8_284', 'RGB_GCH8_285', 'RGB_GCH8_292', 'RGB_GCH8_294', 'RGB_GCH8_295', 'RGB_GCH8_301', 'RGB_GCH8_303', 'RGB_GCH8_357', 'RGB_GCH8_358', 'RGB_GCH8_365', 'RGB_GCH8_366', 'RGB_GCH8_367', 'RGB_GCH8_374', 'RGB_GCH8_375', 'RGB_colorLayout_R_5', 'RGB_colorLayout_G_5', 'RGB_colorLayout_B_5', 'RGB_colorLayout_R_6', 'RGB_colorLayout_G_6', 'RGB_colorLayout_B_6', 'RGB_colorLayout_R_7', 'RGB_colorLayout_G_7', 'RGB_colorLayout_B_7', 'RGB_colorLayout_R_8', 'RGB_colorLayout_G_8', 'RGB_colorLayout_B_8', 'RGB_colorLayout_R_9', 'RGB_colorLayout_G_9', 'RGB_colorLayout_B_9', 'RGB_colorLayout_R_10', 'RGB_colorLayout_G_10', 'RGB_colorLayout_B_10', 'RGB_colorLayout_R_11', 'RGB_colorLayout_G_11', 'RGB_colorLayout_B_11', 'RGB_colorLayout_R_12', 'RGB_colorLayout_G_12', 'RGB_colorLayout_B_12', 'RGB_dominantColor_R_1', 'RGB_dominantColor_G_1', 'RGB_dominantColor_B_1', 'RGB_dominantColor_variance_1', 'RGB_dominantColor_R_2', 'RGB_dominantColor_G_2', 'RGB_dominantColor_B_2', 'RGB_dominantColor_R_3', 'RGB_dominantColor_G_3', 'RGB_dominantColor_B_3', 'RGB_dominantColor_percent_3', 'RGB_dominantColor_variance_3', 'HSV_meanColor_H', 'HSV_meanColor_V', 'HSV_GCH4_1', 'HSV_GCH4_8', 'HSV_GCH4_17', 'HSV_GCH4_19', 'HSV_GCH4_20', 'HSV_GCH4_23', 'HSV_GCH4_24', 'HSV_GCH4_25', 'HSV_GCH4_29', 'HSV_GCH4_34', 'HSV_GCH4_35', 'HSV_GCH4_36', 'HSV_GCH4_40', 'HSV_GCH4_41', 'HSV_GCH4_45', 'HSV_GCH4_49', 'HSV_GCH4_53', 'HSV_GCH4_57', 'HSV_GCH8_1', 'HSV_GCH8_6', 'HSV_GCH8_21', 'HSV_GCH8_65', 'HSV_GCH8_79', 'HSV_GCH8_80', 'HSV_GCH8_88', 'HSV_GCH8_96', 'HSV_GCH8_132', 'HSV_GCH8_133', 'HSV_GCH8_134', 'HSV_GCH8_135', 'HSV_GCH8_136', 'HSV_GCH8_137', 'HSV_GCH8_143', 'HSV_GCH8_144', 'HSV_GCH8_152', 'HSV_GCH8_153', 'HSV_GCH8_160', 'HSV_GCH8_161', 'HSV_GCH8_193', 'HSV_GCH8_195', 'HSV_GCH8_196', 'HSV_GCH8_197', 'HSV_GCH8_198', 'HSV_GCH8_199', 'HSV_GCH8_200', 'HSV_GCH8_201', 'HSV_GCH8_204', 'HSV_GCH8_205', 'HSV_GCH8_206', 'HSV_GCH8_207', 'HSV_GCH8_208', 'HSV_GCH8_213', 'HSV_GCH8_215', 'HSV_GCH8_216', 'HSV_GCH8_217', 'HSV_GCH8_224', 'HSV_GCH8_225', 'HSV_GCH8_233', 'HSV_GCH8_241', 'HSV_GCH8_249', 'HSV_GCH8_257', 'HSV_GCH8_258', 'HSV_GCH8_259', 'HSV_GCH8_260', 'HSV_GCH8_261', 'HSV_GCH8_262', 'HSV_GCH8_263', 'HSV_GCH8_264', 'HSV_GCH8_266', 'HSV_GCH8_268', 'HSV_GCH8_269', 'HSV_GCH8_270', 'HSV_GCH8_271', 'HSV_GCH8_272', 'HSV_GCH8_280', 'HSV_GCH8_281', 'HSV_GCH8_289', 'HSV_GCH8_297', 'HSV_GCH8_305', 'HSV_GCH8_313', 'HSV_GCH8_321', 'HSV_GCH8_322', 'HSV_GCH8_323', 'HSV_GCH8_324', 'HSV_GCH8_326', 'HSV_GCH8_327', 'HSV_GCH8_328', 'HSV_GCH8_330', 'HSV_GCH8_334', 'HSV_GCH8_336', 'HSV_GCH8_338', 'HSV_GCH8_345', 'HSV_GCH8_353', 'HSV_GCH8_361', 'HSV_GCH8_369', 'HSV_GCH8_377', 'HSV_GCH8_385', 'HSV_GCH8_386', 'HSV_GCH8_393', 'HSV_GCH8_394', 'HSV_GCH8_402', 'HSV_GCH8_409', 'HSV_GCH8_417', 'HSV_GCH8_425', 'HSV_colorLayout_H_5', 'HSV_colorLayout_S_5', 'HSV_colorLayout_V_5', 'HSV_colorLayout_H_6', 'HSV_colorLayout_S_6', 'HSV_colorLayout_V_6', 'HSV_colorLayout_H_7', 'HSV_colorLayout_S_7', 'HSV_colorLayout_V_7', 'HSV_colorLayout_H_8', 'HSV_colorLayout_S_8', 'HSV_colorLayout_V_8', 'HSV_colorLayout_H_9', 'HSV_colorLayout_S_9', 'HSV_colorLayout_V_9', 'HSV_colorLayout_H_10', 'HSV_colorLayout_S_10', 'HSV_colorLayout_V_10', 'HSV_colorLayout_H_11', 'HSV_colorLayout_S_11', 'HSV_colorLayout_V_11', 'HSV_colorLayout_H_12', 'HSV_colorLayout_S_12', 'HSV_colorLayout_V_12', 'HSV_dominantColor_V_1', 'HSV_dominantColor_persent_1', 'HSV_dominantColor_variance_1', 'HSV_dominantColor_S_2', 'HSV_dominantColor_V_2', 'HSV_dominantColor_variance_2', 'HSV_dominantColor_S_3', 'HSV_dominantColor_V_3', 'HSV_dominantColor_persent_3', 'HSV_dominantColor_variance_3', 'Lab_meanColor_L', 'Lab_meanColor_b', 'Lab_GCH4_22', 'Lab_GCH4_23', 'Lab_GCH4_26', 'Lab_GCH4_27', 'Lab_GCH4_39', 'Lab_GCH4_40', 'Lab_GCH4_42', 'Lab_GCH4_43', 'Lab_GCH4_44', 'Lab_GCH8_219', 'Lab_GCH8_220', 'Lab_GCH8_221', 'Lab_GCH8_222', 'Lab_GCH8_225', 'Lab_GCH8_226', 'Lab_GCH8_227', 'Lab_GCH8_228', 'Lab_GCH8_229', 'Lab_GCH8_230', 'Lab_GCH8_285', 'Lab_GCH8_286', 'Lab_GCH8_287', 'Lab_GCH8_291', 'Lab_GCH8_292', 'Lab_GCH8_293', 'Lab_GCH8_294', 'Lab_GCH8_295', 'Lab_GCH8_355', 'Lab_GCH8_356', 'Lab_GCH8_357', 'Lab_GCH8_358', 'Lab_GCH8_363', 'Lab_colorLayout_L_5', 'Lab_colorLayout_a_5', 'Lab_colorLayout_b_5', 'Lab_colorLayout_L_6', 'Lab_colorLayout_a_6', 'Lab_colorLayout_b_6', 'Lab_colorLayout_L_7', 'Lab_colorLayout_a_7', 'Lab_colorLayout_b_7', 'Lab_colorLayout_L_8', 'Lab_colorLayout_a_8', 'Lab_colorLayout_b_8', 'Lab_colorLayout_L_9', 'Lab_colorLayout_a_9', 'Lab_colorLayout_b_9', 'Lab_colorLayout_L_10', 'Lab_colorLayout_a_10', 'Lab_colorLayout_b_10', 'Lab_colorLayout_L_11', 'Lab_colorLayout_a_11', 'Lab_colorLayout_b_11', 'Lab_colorLayout_L_12', 'Lab_colorLayout_a_12', 'Lab_colorLayout_b_12', 'Lab_dominantColor_L_1', 'Lab_dominantColor_a_1', 'Lab_dominantColor_b_1', 'Lab_dominantColor_variance_1', 'Lab_dominantColor_L_2', 'Lab_dominantColor_b_2', 'Lab_dominantColor_L_3', 'Lab_dominantColor_a_3', 'Lab_dominantColor_persent_3', 'Lab_dominantColor_variance_3', 'YCrCb_meanColor_Y', 'YCrCb_meanColor_Cb', 'YCrCb_GCH4_23', 'YCrCb_GCH4_25', 'YCrCb_GCH4_26', 'YCrCb_GCH4_27', 'YCrCb_GCH4_38', 'YCrCb_GCH4_39', 'YCrCb_GCH4_41', 'YCrCb_GCH4_42', 'YCrCb_GCH4_43', 'YCrCb_GCH8_163', 'YCrCb_GCH8_164', 'YCrCb_GCH8_165', 'YCrCb_GCH8_166', 'YCrCb_GCH8_171', 'YCrCb_GCH8_172', 'YCrCb_GCH8_173', 'YCrCb_GCH8_220', 'YCrCb_GCH8_221', 'YCrCb_GCH8_222', 'YCrCb_GCH8_226', 'YCrCb_GCH8_227', 'YCrCb_GCH8_228', 'YCrCb_GCH8_229', 'YCrCb_GCH8_230', 'YCrCb_GCH8_234', 'YCrCb_GCH8_235', 'YCrCb_GCH8_236', 'YCrCb_GCH8_237', 'YCrCb_GCH8_283', 'YCrCb_GCH8_284', 'YCrCb_GCH8_285', 'YCrCb_GCH8_286', 'YCrCb_GCH8_289', 'YCrCb_GCH8_290', 'YCrCb_GCH8_291', 'YCrCb_GCH8_292', 'YCrCb_GCH8_293', 'YCrCb_GCH8_294', 'YCrCb_colorLayout_Y_5', 'YCrCb_colorLayout_Cr_5', 'YCrCb_colorLayout_Cb_5', 'YCrCb_colorLayout_Y_6', 'YCrCb_colorLayout_Cr_6', 'YCrCb_colorLayout_Cb_6', 'YCrCb_colorLayout_Y_7', 'YCrCb_colorLayout_Cr_7', 'YCrCb_colorLayout_Cb_7', 'YCrCb_colorLayout_Y_8', 'YCrCb_colorLayout_Cr_8', 'YCrCb_colorLayout_Cb_8', 'YCrCb_colorLayout_Y_9', 'YCrCb_colorLayout_Cr_9', 'YCrCb_colorLayout_Cb_9', 'YCrCb_colorLayout_Y_10', 'YCrCb_colorLayout_Cr_10', 'YCrCb_colorLayout_Cb_10', 'YCrCb_colorLayout_Y_11', 'YCrCb_colorLayout_Cr_11', 'YCrCb_colorLayout_Cb_11', 'YCrCb_colorLayout_Y_12', 'YCrCb_colorLayout_Cr_12', 'YCrCb_colorLayout_Cb_12', 'YCrCb_dominantColor_Y_1', 'YCrCb_dominantColor_Cr_1', 'YCrCb_dominantColor_Cb_1', 'YCrCb_dominantColor_variance_1', 'YCrCb_dominantColor_Y_2', 'YCrCb_dominantColor_Cr_2', 'YCrCb_dominantColor_Cb_2', 'YCrCb_dominantColor_persent_2', 'YCrCb_dominantColor_variance_2', 'YCrCb_dominantColor_Y_3', 'YCrCb_dominantColor_Cr_3', 'YCrCb_dominantColor_persent_3', 'YCrCb_dominantColor_variance_3', 'Stem length', 'Perimeter', 'Ear area', 'Awns area', 'Roundness', 'Solidity', 'xu1', 'xu2', 'xu3', 'yu1', 'au1', 'au3', 'tu1', 'tu3', 'Su1', 'Su2', 'Su', 'yum', 'xb1', 'xb2', 'xb3', 'yb1', 'yb2', 'ab1', 'ab2', 'ab3', 'tb1', 'tb2', 'tb3', 'Sb1', 'Sb2', 'Sb3', 'Sb', 'ybm', 'L', 'AIy2', 'biomass_colorchecker', 'biomass_spikelet']"
3,1_#3,/home/jupyter-igor_busov/wheat_wrapper/image_example/1/1.jpg,[]
