Name,xu1,xu2,xu3,yu1,yu2,au1,au2,au3,tu1,tu2,tu3,Su1,Su2,Su3,Su,yum,xb1,xb2,xb3,yb1,yb2,ab1,ab2,ab3,tb1,tb2,tb3,Sb1,Sb2,Sb3,Sb,ybm,L,AIx2,AIy2,AIxy2
3,"9,262761","28,565010","6,260034","3,341956","3,016824","19,839180","0,652122","25,730263","0,360795","0,011382","0,481918","15,477870","90,819312","9,442712","115,739894","0,168666","8,053079","27,741068","8,293659","2,998402","3,240776","20,421803","-0,500582","21,343248","0,372330","-0,008737","0,390754","12,073184","86,540735","13,438947","112,052865","0,163293","44,087805","13,111371","0,808460","13,919832"
1,"13,687141","38,072105","6,791037","3,639450","4,272213","14,890552","-0,952175","32,173828","0,265903","-0,016620","0,629096","24,906832","150,606836","14,506379","190,020047","0,209251","8,717038","39,214672","10,618573","3,074488","4,501435","19,427683","-2,083964","22,973102","0,352699","-0,036388","0,423921","13,400216","148,543675","23,899408","185,843299","0,204651","58,550283","61,981532","1,550959","63,532491"
5,"23,117558","62,492192","8,077036","3,942914","3,600052","9,679187","0,314349","24,023224","0,170559","0,005486","0,445714","45,575273","235,688239","14,538874","295,802386","0,234890","23,475830","68,675167","1,535790","4,499726","2,978192","10,850557","1,269210","62,720812","0,191675","0,022156","1,939192","52,817404","256,773658","2,286939","311,878001","0,247656","93,686786","79,505332","2,500849","82,006181"
1_#3,"13,687141","38,072105","6,791037","3,639450","4,272213","14,890552","-0,952175","32,173828","0,265903","-0,016620","0,629096","24,906832","150,606836","14,506379","190,020047","0,209251","8,717038","39,214672","10,618573","3,074488","4,501435","19,427683","-2,083964","22,973102","0,352699","-0,036388","0,423921","13,400216","148,543675","23,899408","185,843299","0,204651","58,550283","61,981532","1,550959","63,532491"
