Name,Stem length,Perimeter,Ear area,Awns area,Circularity index,Roundness,Solidity,Rugosity,Maximum Inscribed/Minimum Circumscribed,Maximum Inscribed Circle/Equivalent-Area Circle
3,"44,087805","104,086652","232,927572","497,567522","0,282285","0,153464","0,929850","1,111547","0,017024","0,043508"
1,"58,550283","147,357769","381,172307","1185,819745","0,194106","0,149882","0,900750","1,284116","0,138837","0,368580"
5,"93,686786","216,983059","630,848907","18,430096","0,177704","0,088478","0,869616","1,097115","0,071879","0,237179"
1_#3,"58,550283","147,357769","381,172307","1185,819745","0,194106","0,149882","0,900750","1,284116","0,138837","0,368580"
